bathrooms,bedrooms,desc,living_rooms,postcode,price,property_type,town_city
4,8,"100% Ready For LivingFully furnished: Beds and bedding, linen, cutlery, towels, wifi…All inclusive: From bills to a weekly cleanStay-to-the-day – no fixed contractsEnd-To-End ServiceDedicated ...",1,SW3,"191,670",town house,London
5,5,"The largest penthouse suite the Grosvenor Penthouse offers unparalleled accomodation, the Art Deco inspired study, dining and living rooms offers a show piece setting for entertaining at ...",,W1K,"189,800",flat,London
4,5,"The property has been extensively refurbished throughout and has 5 bedrooms, 4 bathrooms, 2 guest cloakrooms, 3 receptions rooms, 2 kitchens, terrace and a fantastic garden leading out from a ...",3,SW1W,"180,483",detached house,London
5,5,"Outstanding Newly Developed Purpose Built Top Floor Five Bedroom Penthouse, With Wrap-Around Terrace Providing Stunning Hyde Park Views, Located In This Exclusive, Secure 24h Portered ...",,W1K,"175,500",flat,London
3,2,"100% Ready For LivingFully furnished: Beds and bedding, linen, cutlery, towels, wifi…All inclusive: From bills to a weekly cleanStay-to-the-day – no fixed contractsEnd-To-End ServiceDedicated ...",1,SW1E,"174,240",flat,London
3,2,"100% Ready For LivingFully furnished: Beds and bedding, linen, cutlery, towels, wifi…All inclusive: From bills to a weekly cleanStay-to-the-day – no fixed contractsEnd-To-End ServiceDedicated ...",1,SW1E,"174,240",flat,London
6,7,"Outstanding Seven Bedrooms, Six Bathrooms Newly Refurbished Penthouse Located In This Secure ​Portered Building, Overlooking Directly Into Hyde Park (Terraces situated inside Hyde Park). ...",,SW1X,"173,333",flat,London
4,5,"This penthouse suite offers the luxury, discretion and security of a five star hotel whilst combining comfort and a personalised service. Available for both short let and long let. This ...",1,W1K,"173,333",flat,London
7,7,"Short let - A stunning and newly renovated ambassadorial home set around this lovely garden square in the heart of South Kensington. Finished to the highest degree, this amazing house offers ...",5,SW7,"86,667",terraced house,London
6,6,"Designed and refurbished to an exacting standard, this substantial six-bedroom house (8,040 sq ft / 747 sq m) offers gracious living with up to the minute entertaining facilities, well served ...",3,W8,"86,667",property,London
5,5,5 bedrooms (5 en-suite bathrooms) located in first and second floors Media room with terrace Living room with separate dining area Kitchen Cloak room Entrance either for first or second floor ...,1,SW1X,"86,667",duplex,London
,6,This magnificent Grade I listed home provides stunning views over the Park and has been both carefully restored to the specification of the Crown Estate and English Heritage and beautifully ...,,NW1,"86,667",terraced house,London
5,7,Available for short let is this truly sensational and incredibly unique family home sitting proudly between both Notting Hill and Holland Park. Taking ownership of five grand floors and ...,5,W11,"86,667",terraced house,London
6,6,"A fabulous, lateral penthouse apartment occupying 7,000 square feet of one of the finest period buildings in Knightsbridge. Set back from South Carriage Drive, Wellington Court itself boasts ...",3,SW1X,"86,667",flat,London
5,5,"An extraordinary 2nd floor lateral flat [4,647 sq/ft], together with an interconnected lower ground floor flat [1,745 sq/t] redeveloped and interior designed to an exceptional standard. The ...",2,SW1X,"86,667",flat,London
6,6,"This beautiful 6 bedroom house has been meticulously extended, designed and refurbished to provide superior living accommodation with up to the minute entertaining facilities. Thehouse ...",4,W8,"86,667",terraced house,London
7,6,"Absolutely stunning film star style 6 bedroom penthouse apartment with park views and extensive terraces. Split level accommodation of the highest standard and bespoke furnishings and fixtures and fittings, creating a magnificent flat for entertaining ...",5,SW1X,"86,667",flat,London
8,6,"Located on the south-west corner of Regent's Park on Cornwall Terrace, Silk House presents a magnificent Grade I listed home with stunning views over Regent's Park. This impressive six ...",7,NW1,"86,667",property,London
6,6,"Interior designed penthouse in the heart of Knightsbridge with views overlooking Hyde Park. The apartment comprises six double bed, six bathrooms, fully fitted kitchen, eat-in breakfast room, ...",2,SW1X,"86,667",flat,London
6,7,"Outstanding Seven Bedrooms, Six Bathrooms Newly Refurbished Penthouse, Overlooking Directly Into Hyde Park (Terraces situated inside Hyde Park), Located In This Secure 24h Portered Building. ...",,SW1X,"86,667",flat,London
5,6,"Outstanding six bedroom penthouse apartment with breath-taking views over the Hyde Park and The Serpentine. This widespread lavish apartment consists of 8,000 sq. Ft. Of alluring designs and ...",2,SW1X,"86,667",flat,London
8,7,"A sophisticated residence set within a newly built gated development, which houses 3 mansions and 5 luxury apartments. The accommodation has been thoughtfully designed throughout with an ...",4,N2,"78,000",detached house,London
9,9,"An eight bedroom family home arranged over four floors and designed in neo-classical style by architect Lionel Stirgess is available to rent through Knight Frank, St John's Wood. The property ...",3,NW8,"78,000",detached house,London
6,5,"This jaw dropping house has been the subject of an extensive redevelopment. Nestled amongst the Queen Anne and Grade ll* listed properties that are synonymous with Old Chelsea, this unique ...",4,SW3,"78,000",semi-detached house,London
6,8,"An impressive, double fronted detached family home with a secure, gated carriage driveway providing parking for as many as 10 cars. Arranged over five floors, with lift access, this updated period residence features two expansive floors of open plan, ...",2,NW8,"78,000",detached house,London
6,8,A double fronted detached family home with a carriage driveway is available to rent through Knight Frank St John's Wood NW8. Arranged over five floors this period residence benefits from a ...,3,NW8,"78,000",detached house,London
12,8,"Hidden and set back from the road behind security gates and guard, Huxley House is a magnificent newly constructed mansion of 14,529 sq ft(sqm) spanning 4 stories, offering 12 bedrooms with ...",1,N2,"78,000",detached house,London
10,8,A sophisticated residence set within a this newly built gated development which houses 3 mansions houses and 5 luxury apartments. Location The Bishops Avenue is surrounded by beautiful ...,4,N2,"78,000",detached house,London
,7,"A magnificent Grade I Listed house which has undergone a beautiful refurbishment, located in this striking Nash Terrace. Situated adjacent to, and enjoying views over Regents Park, the ...",,NW1,"75,833",terraced house,London
3,4,"Short let Serviced stunning penthouse located on the top floor. It features three bedrooms — one en suite king, one en suite double and one with two single beds. There is a further guest ...",2,W1K,"74,317",flat,London
3,3,"A fully serviced apartment situated inside a luxurious modern five-star hotel located on Park Lane. Comprising of an open plan kitchen/dining room, reception room and three double bedrooms ...",1,W1K,"74,317",flat,London
4,6,Oliver James are proud to offer this spectacular family home located in the heart of Regents Park. The property which has been Interior Designed to the highest standard has a large amount of ...,2,NW1,"73,667",terraced house,London
6,6,"An Ambassadorial Modernised Residence, covering approximately 9,100 Sq Ft (840 Sq M). This Period Property Consists of 6 Bedrooms, 6 Bathrooms, 4 Reception Rooms, 2 Dining Rooms, an Office ...",,SW7,"73,667",semi-detached house,London
6,7,"Long let. A wonderful opportunity to rent a truly stunning house in South Kensington arranged over six floors, presented in exceptional condition with four impressive receptions, six ...",5,SW7,"73,667",property,London
7,7,"Princes Gate is an imposing white stucco-fronted freehold family house in desirable Knightsbridge. Arranged over glorious seven floors, this immaculately presented house has been luxuriously ...",6,SW7,"73,667",property,London
7,8,"Presently, the lower ground floor consists of an informal reception/media room, breakfast/dining room and separate kitchen. The ground floor comprises an entrance hall leading onto a wonderful double reception room with a further sitting room/formal ...",2,SW7,"73,667",flat,London
6,6,"Occupying over 9,000 square feet of one of London's most prestigious roads, this superlative town house offers vast living space paired with unparalleled luxury. Spanning seven floors with ...",4,SW7,"73,667",town house,London
3,3,"Three bedroom duplex Penthouse Suite, just under 2000 sq ft The Apartment is comprising of: Three Double Bedrooms Three En-Suite Bathrooms Guest Cloak rooms Large Reception Room with the ...",1,W1J,"69,333",flat,London
3,3,"100% Ready For LivingFully furnished: Beds and bedding, linen, cutlery, towels, wifi…All inclusive: From bills to a weekly cleanStay-to-the-day – no fixed contractsEnd-To-End ServiceDedicated ...",1,SW1E,"65,880",flat,London
5,7,"Short let. This impressive 7 bedroom gated family house in the heart of Hampstead is presented over 3 floors and boasts 4 luxury reception rooms, 3 contemporary en suites, private garden and ...",3,NW3,"65,000",property,London
8,8,A simply stunning and truly impressive eight bedroom mansion situated in the very heart of Hampstead. Boasting a grand principal bedroom overlooking the incredible landscaped garden and ...,3,NW3,"65,000",property,London
5,4,"Stunning Newly Developed Top Floor Four Bedrooms / Four Bathrooms Modernised Penthouse, With Private Terraces Providing Stunning Views Over London. Spanning Approximately 370 Sq M / (3,982 Sq ...",,W1K,"65,000",flat,London
5,10,Property Description available on both long & short let (£25000PW) with 0% deposit An imposing 7 bedroom house to rent in the heart of Hampstead Village. The detached property has been finished to an immaculate standard throughout and offers a mix ...,1,"NW3,","65,000",detached house,London
8,8,A simply stunning eight bedroom mansion situated in the very heart of Hampstead. This incredible property has a master bedroom overlooking the incredible garden with his and her bathrooms and ...,3,NW3,"65,000",property,London
7,10,"Short let. This impressive ten bedroom gated family house in the heart of Hampstead is presented over three floors and boasts five luxury reception rooms, four contemporary en suites, private ...",4,NW3,"65,000",property,London
8,8,A magnificent eight bed mansion which has undergone extensive renovation with a wonderful heated outdoor swimming pool and Andrew Martin furnishings throughout. A magnificent eight-bedroom ...,4,NW3,"65,000",detached house,London
8,8,Oliver James are pleased to offer this truly spectacular family residence which has been refurbished to a very high standard. The estate is divided into three properties. The main home ...,6,NW3,"65,000",detached house,London
5,4,We are pleased to offer this centrally located 5 bedroom split level apartment spanning over 4200 sq ft which has been refurbished to a very high standard The property benefits from a ...,1,W1K,"65,000",flat,London
8,8,A simply stunning and truly impressive eight bedroom mansion situated in the very heart of Hampstead. Boasting a grand principal bedroom overlooking the incredible landscaped garden and ...,3,NW3,"65,000",property,London
8,8,A magnificent eight bed mansion which has undergone extensive renovation with a wonderful heated outdoor swimming pool and Andrew Martin furnishings throughout. A magnificent eight-bedroom ...,4,NW3,"65,000",detached house,London
7,7,"An elegant and grand Victorian house in the heart of Belgravia, situated in between (and minutes walking distance) from Sloane Square and Elizabeth Street. This beautiful house has been ...",5,SW1W,"65,000",terraced house,London
4,6,"*video tour available *. Short Let. A 6 bedroom ambassadorial family house which has been refurbished to the highest of standards with entrance in Oak Hill Park, private terrace and garden, ...",4,NW3,"65,000",detached house,London
5,7,An exceptional family home that has been stylishly configured and is beautifully presented throughout situated on this prestigious tree-lined street. The vast subterranean section of the ...,5,W11,"65,000",property,London
5,5,"Short let. Recently refurbished with exacting specifications, this immaculately presented 5 bedroom, mid terrace house is arranged over 5 expansive floors with a superb entertainment area to ...",4,SW1X,"65,000",terraced house,London
3,5,"Short let. Featuring ample living and entertaining space, this superb 5 bedroom penthouse apartment offers stylish riverside accommodation in Chelsea Harbour. Thames Quay is conveniently ...",3,SW10,"65,000",flat,London
5,7,"An amazing family house which has been meticulously re modernised with 5 bedrooms & 3 bathrooms in the original house, a separate 2 bedroom apartment and a private swimming pool. The property is set over 4 floors with a large kitchen and dining area, ...",3,W11,"65,000",flat,London
7,10,"Refurbished exquisitely, this fabulous house with heated outdoor pool is situated in the heart of Hampstead and benefits from lavish, contemporary styling in a period setting. The property ...",4,NW3,"65,000",flat,London
7,7,"A superb 7 bedroom mansion with adjacent 3 bedroom guest house and separate staff studio flat offering a substantial, immaculately presented and interior designed home in this prominent ...",6,NW3,"65,000",property,London
4,7,"A beautifully designed seven bedroom town house in Notting Hill available to rent with private swimming pool and gym. Arranged over six floors, the substantial house offers a quaint home in ...",3,W11,"65,000",town house,London
1,11,"An exquisite period property located on a prominent corner plot with the added benefit of two further separate cottages as well as an outdoor swimming pool, all set in stunning landscaped ...",9,NW3,"65,000",detached house,London
3,3,"An exceptional 3 bedroom apartment in One Hyde Park, one of the most exclusive addresses in the world. With striking design, legendary service, unrivalled facilities and an unbeatable ...",2,SW1X,"65,000",flat,London
5,7,Sitting proudly between both Notting Hill and Holland Park is this truly sensational and incredibly unique family home. Taking ownership of five grand floors and enriched in character and ...,5,W11,"65,000",terraced house,London
4,4,"Set across four floors, this elegant house is located close to Hyde Park and Paddington. The property has been refurbished throughout to an exceptional standard, on the ground floor is a ...",3,W2.,"65,000",terraced house,London
3,3,"An exceptional 3 bedroom apartment in One Hyde Park, one of the most exclusive addresses in the world. With striking design, legendary service, unrivalled facilities and an unbeatable ...",1,SW1X,"65,000",cottage,London
4,5,"A stunning 5925 sq ft duplex apartment located within an exclusive and private gated development with concierge service, and underground parking. Arranged over two floors with a grand double ...",2,W8,"65,000",flat,London
6,6,"Breath taking detached house furnished to an exceptional standard throughout is available for rent. This house is arranged over four floors and approximately 10,745 sq. Ft. The grand hallway ...",2,N6,"65,000",property,London
6,5,"A beautiful five-bedroom family house in the heart of St. James's UK Sotheby’s International Realty proudly presents this exceptional five-bedroom (approx. 6,735 sq. Ft) period house arranged ...",2,SW1H,"62,833",property,London
7,5,"Overlooking Birdcage Walk, in Royal St.James`s this modernised townhouse encompasses over 6,700 sq ft internally and 1,300sq ft externally. The property benefits from five en suite bedrooms ...",5,SW1H,"62,833",property,London
7,6,"An exquisite restoration of a Grade II listed six bedroom House with views over two royal palaces and St James Park. Occupying eight levels, the specification is that of sublime luxury. ...",4,SW1H,"62,833",flat,London
5,5,"A newly refurbished Grade II listed house with exceptional views of St James`s Park. Overlooking Birdcage Walk, in Royal St.James`s this modernised townhouse encompasses over 6,700 square ...",2,SW1H,"62,833",terraced house,London
2,2,The apartments are the epitome of British design chic where home is nothing less than an elegant and refined experience complimented with the ultimate in privacy and discretion. Daily maid ...,1,W1K,POA,flat,London
3,3,"We are proud to offer this unique interior designed three bedroom lateral apartment located on the fifth floor of the landmark building, One Hyde Park. With views looking over Knightsbridge, ...",1,SW1X,"60,667",flat,London
6,6,"A Grand & Elegant Six Bedrooms, Six Bathrooms, 527 Sq Meters (5,673 Sq Ft), Ambassadorial Residence, Situated Within This Most Sought After 24hr Executive Portered Building. A Fantastic ...",,SW7,"60,667",flat,London
3,3,"This amazing apartment has 3 double bedroom with fitted wardrobes, bathrooms, reception room with terrace overlooking Hyde Park, kitchen with Gaggenau appliances, storage unit and underground ...",1,SW1X,"60,662",flat,London
4,6,"A truly magnificent duplex Penthouse in one of London's most prestigious and secure developments. Set over the fourth and fifth floor, with a lift. This 5,900 square foot apartment consists ...",1,W8,"58,500",penthouse,London
6,6,"A Luxury Five Bedrooms, Five Bathrooms Duplex Penthouse, With Balcony, Located Within This Sought After 24H Portered Building And Gated Development In Kensington. Internal Area Of ...",,W8,"58,500",flat,London
9,6,"Superlative 6 bedroom duplex penthouse in a prime Kensington location. Spanning c.6000 sq ft and boasting one of the most spectacular drawing rooms in London, this unique property offers a ...",2,W8,"58,500",flat,London
,5,An impressive interior designed duplex apartment situated in the south elevation within one of Kensington's most prestigious developments. Occupying 6000 sqft of luxury living space this ...,,W8,"58,500",flat,London
6,6,"***Remote Video Viewings Available*** A stunning six bedroom duplex apartment with spectacular accommodation including a fabulous double height reception room, beautiful staircase and ...",4,W8,"58,500",flat,London
2,2,"100% Ready For LivingFully furnished: Beds and bedding, linen, cutlery, towels, wifi…All inclusive: From bills to a weekly cleanStay-to-the-day – no fixed contractsEnd-To-End ServiceDedicated ...",1,SW1E,"57,150",flat,London
5,4,"A stunning and large Penthouse in 190 Strand overlooking London's most iconic venues like London Eye, London Bridge, Shard.. 4456 Sq. Feet Internal Area comprises of 4 Ensuite Large Bedrooms ...",1,WC2R,"56,333",flat,London
3,3,"Positioned on this historic, world famous street, Mayfair House is an exquisite, boutique development of lateral apartments, designed by Derek Williams Ltd and Finchatton. Location Situated ...",2,W1K,"56,333",flat,London
7,5,"This Grade II listed Georgian family home was built c1770 and has been sympathetically restored with modern conveniences such as passenger lift to each floor, air conditioning, Lutron ...",3,SW1H,"56,312",detached house,London
4,5,A contemporary 5 bedroom apartment on the fourth floor of the Candy and Candy building with Foster + Partners on the site of the previous Belgravia Telephone exchange. The building offers ...,2,SW1X,"56,117",flat,London
4,5,"The property has been extensively refurbished throughout and has 5 bedrooms, 4 bathrooms, 2 guest cloakrooms, 3 receptions rooms, 2 kitchens, terrace and a fantastic garden leading out from a ...",3,SW1W,"56,117",detached house,London
12,12,"A rare and unique opportunity to rent a substantial 12 bedroom property of a total of 6,070sq ft / 663.9sq m, divided into three properties and set in landscaped gardens with outdoor swimming pool and off-street parking. Elmpoint, the main house ...",5,NW3,"54,167",property,London
10,8,"Spanning over 4,600 square feet of sheer excellence this is a stunning and unique lateral apartment in the most sought-after of locations in London. The property benefits from eight bedrooms ...",4,SW1X,"53,300",flat,London
7,8,"A large, lateral apartment located in the heart of Knightsbridge. Location Wellington Court is situated on the south side of Hyde Park on Knightsbridge. It is served well by the amenities in ...",4,SW1X,"53,300",flat,London
3,3,"An exceptional three bedroom apartment to rent on the fifth floor in this outstanding development in Knightsbridge. The combination of leading architects, designers, artists and the Mandarin ...",2,SW1X,"52,000",detached house,London
8,8,"An impressive refurbished detached house set in 0.5 acre of mature landscaped grounds in one of Kenwood's most exclusive private gated roads with security. The house offers over 11,331 sq ft ...",5,N6,"52,000",property,London
7,6,"An immaculately newly refurbished house, designed with a modern and stylish finish, whilst retaining its original character and elegance. Location Victoria Road is ideally situated in the ...",4,W8,"52,000",semi-detached house,London
12,13,"Hedsor House was originally designed by Sir William Chambers, the architect of Somerset House, with the help of King George III and Queen Charlotte. They were captivated by Hedsor's ...",5,SL6,"52,000",detached house,Buckinghamshire
8,8,"This desirable property is located in one of Kenwood's most distinguished residences set in a private road with security. This magnificent property offers over 11,300 sqft of well-planned ...",2,N6,"52,000",detached house,London
6,6,This family home on Victoria Road has been completely redeveloped to offer great style and luxury. Victoria Road is a popular location in Kensington – quiet and picturesque whilst being close ...,6,W8,"52,000",detached house,London
6,7,A fabulous seven bedroom detached house to let. Finished to an exceptional standard and offering a blend of period features and contemporary styling. Located in the heart of Hampstead and ...,3,NW3,"52,000",flat,London
3,3,"A beautiful three bedroom duplex apartment overlooking Buckingham Palace .A sculptural staircase, in the centre of the apartment`s large open-plan living area, creates a unique sense of space ...",3,SW1E,"52,000",flat,London
,,"One of Kenwood’s most distinguished and elegant residences set in a private road protected by a guard operated security gate. This magnificent house offers over 11,300 sq ft of well-planned accommodation set in over half an acre of grounds including ...",,N6,"52,000",detached house,London
6,7,This beautiful Chester Square white stucco fronted townhouse has been refurbished throughout with high specification finishes symptathertic to its famous heritage. Designed by the architect ...,4,SW1W,"52,000",terraced house,London
6,7,"Situated on the north westerly terrace of this renowned garden square in Belgravia, this is a substantial and impressive Grade II listed house of 5,983sq ft / 555.8 sq m. Formerly the home in ...",3,SW1W,"52,000",town house,London
7,6,A substantial and unique six bedroom house overlooking Hurlingham Park in Fulham. The house has undergone extensive refurbishment and is finished to the highest of standards. Arranged over ...,2,SW6,"52,000",detached house,London
